teacher_grading,reviewer_feedback,human_grading,is_teacher_grading_correct,is_reviewer_feedback_correct,prediction,ground_truth
0,0,0,1,0,0,1
0,0,0,1,0,0,1
0,0,0,1,0,0,1
1,0,0,0,1,0,0
0,0,0,1,0,0,1
1,0,0,0,1,0,0
1,0,0,0,1,0,0
0,0,1,0,1,0,0
1,1,0,0,0,1,0
0,0,0,1,0,0,1
0,0,0,1,0,0,1
0,0,0,1,0,0,1
1,1,0,0,0,1,0
0,0,0,1,0,0,1
0,0,0,1,0,0,1
1,1,0,0,0,1,0
1,1,1,1,1,1,1
0,0,0,1,0,0,1
0,0,0,1,0,0,1
1,0,0,0,1,0,0
0,0,0,1,0,0,1
0,0,1,0,1,0,0
1,0,0,0,1,0,0
1,0,0,0,1,0,0
1,1,1,1,1,1,1
1,1,0,0,0,1,0
1,1,0,0,0,1,0
1,1,0,0,0,1,0
0,0,0,1,0,0,1
0,0,0,1,0,0,1
0,0,0,1,0,0,1
1,0,0,0,1,0,0
1,0,0,0,1,0,0
1,0,0,0,1,0,0
0,0,0,1,0,0,1
1,1,1,1,1,1,1
0,0,0,1,0,0,1
1,0,0,0,1,0,0
0,0,0,1,0,0,1
0,0,0,1,0,0,1
0,0,0,1,0,0,1
1,1,0,0,0,1,0
1,1,0,0,0,1,0
1,0,0,0,1,0,0
0,0,0,1,0,0,1
0,0,1,0,1,0,0
0,0,0,1,0,0,1
1,1,1,1,1,1,1
1,0,0,0,1,0,0
0,0,0,1,0,0,1
1,1,0,0,0,1,0
1,1,1,1,1,1,1
1,1,0,0,0,1,0
1,0,0,0,1,0,0
0,0,0,1,0,0,1
0,0,0,1,0,0,1
1,0,0,0,1,0,0
1,0,0,0,1,0,0
1,0,0,0,1,0,0
0,1,0,1,1,1,1
0,0,0,1,0,0,1
0,0,0,1,0,0,1
0,0,0,1,0,0,1
0,0,0,1,0,0,1
0,0,0,1,0,0,1
1,1,0,0,0,1,0
0,0,0,1,0,0,1
1,1,1,1,1,1,1
1,1,0,0,0,1,0
0,0,0,1,0,0,1
1,1,1,1,1,1,1
1,0,0,0,1,0,0
1,0,0,0,1,0,0
0,0,0,1,0,0,1
1,0,0,0,1,0,0
0,0,0,1,0,0,1
0,0,0,1,0,0,1
0,0,0,1,0,0,1
0,0,0,1,0,0,1
1,1,1,1,1,1,1
1,0,0,0,1,0,0
0,0,1,0,1,0,0
1,0,0,0,1,0,0
1,1,0,0,0,1,0
0,0,1,0,1,0,0
1,1,1,1,1,1,1
1,1,0,0,0,1,0
0,0,0,1,0,0,1
1,0,0,0,1,0,0
1,0,0,0,1,0,0
0,0,0,1,0,0,1
0,0,0,1,0,0,1
1,1,1,1,1,1,1
1,0,0,0,1,0,0
1,1,1,1,1,1,1
0,0,0,1,0,0,1
1,0,0,0,1,0,0
0,0,0,1,0,0,1
1,0,0,0,1,0,0
1,0,0,0,1,0,0
